ประเภท,ราคา,ทำเล,ขนาด,Owner Score,Link
คอนโด,"เราขายเพียง 2,200,000 บาท",แกรนด์สิริธารา (Grand Sirithara Condo) | ตรงข้ามโครงการ Serene Lake – แม่เหียะ เชียงใหม่,60 ตร.ม.,15/100,https://www.livinginsider.com/livingdetail/2873827/%E2%9C%A8-%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B2%E0%B8%A8%E0%B8%82%E0%B8%B2%E0%B8%A2%E0%B8%94%E0%B9%88%E0%B8%A7%E0%B8%99-%E0%B8%84%E0%B8%AD%E0%B8%99%E0%B9%82%E0%B8%94%E0%B9%81%E0%B8%81%E0%B8%A3%E0%B8%99%E0%B8%94%E0%B9%8C%E0%B8%AA%E0%B8%B4%E0%B8%A3%E0%B8%B4%E0%B8%98%E0%B8%B2%E0%B8%A3%E0%B8%B2-grand-sirithara-condo.html
คอนโด,ราคาพิเศษเพียง 3.49 MB.,"Hillpark 2 เจ็ดยอด คันคลอง | ใกล้ ม.เชียงใหม่, Maya | มหาวิทยาลัยเชียงใหม่ 5 นาที | มทร.ราชมงคลล้านนา 5 นาที | รร.สาธิตมหาวิทยาลัยเชียงใหม่ 6 นาที | ถนนนิมมาน 3 นาที | ห้างMAYA 3 นาที | รพ.เชียงใหม่ราม 9 นาที | โรงพยาบาลเชียงใหม่มหาราช 10 นาที",ห้องใหญ่ขนาด 70 ตรม.,15/100,https://www.livinginsider.com/livingdetail/2873837/Condo-in-prime-location-Hillpark-2-near-Chiang-Mai-University-Maya-beautiful-room-built-in-furn.html
คอนโด,ขาย 2.69 ล้านบาท* ฟรีโอน,ศรีธนาคอนโด 2 | Modern Cozy | ใกล้ ถ.นิมมาน MAYA | ถ.ห้วยแก้ว และ ถ.ศิริมังคลาจารย์ ซอย 1 | มหาวิทยาลัยเชียงใหม่ 5 นาที | ถนนนิมมาน 3 นาที | ห้าง MAYA / One Nimman/ Think park 800 เมตร | รพ.เชียงใหม่ราม 3 นาที | โรงพยาบาลเชียงใหม่มหาราช 3 นาที,ขนาด 36.5 ตร.ม.,15/100,https://www.livinginsider.com/livingdetail/2874334/%E0%B8%A8%E0%B8%A3%E0%B8%B5%E0%B8%98%E0%B8%99%E0%B8%B2%E0%B8%84%E0%B8%AD%E0%B8%99%E0%B9%82%E0%B8%94-2-%E0%B8%AB%E0%B9%89%E0%B8%AD%E0%B8%87%E0%B8%A7%E0%B8%B4%E0%B8%A7%E0%B9%80%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%87%E0%B9%81%E0%B8%A5%E0%B8%B0%E0%B8%A0%E0%B8%B9%E0%B9%80%E0%B8%82%E0%B8%B2-%E0%B8%95%E0%B8%81%E0%B9%81%E0%B8%95%E0%B9%88%E0%B8%87%E0%B8%AA%E0%B8%A7%E0%B8%A2%E0%B8%AB%E0%B8%A3%E0%B8%B9-%E0%B9%80%E0%B8%9F%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B8%99%E0%B8%B4%E0%B9%80%E0%B8%88%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B8%9A%E0%B8%B4%E0%B9%89%E0%B8%A7%E0%B8%AD%E0%B8%B4%E0%B8%99%E0%B8%AB%E0%B8%A3%E0%B8%B9-%E0%B8%97%E0%B8%B1%E0%B9%89%E0%B8%87%E0%B8%AB%E0%B9%89%E0%B8%AD%E0%B8%87-fully-furnished-%E0%B8%9E%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%A1%E0%B9%80%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%AD%E0%B8%A2%E0%B8%B9%E0%B9%88.html
คอนโด,ขาย 3.98 ล้านบาท*,ศรีธนาคอนโด 2 | ถ.นิมมาน–ห้วยแก้ว | เชียงใหม่ | ใกล้มหาวิทยาลัยเชียงใหม่(มช.) 5 นาที | นิมมาน / MAYA / One Nimman / Think Park 3 นาที | รพ.เชียงใหม่ราม / รพ.มหาราช 3 นาที | สนามบินเชียงใหม่ 10 นาที,ห้องขนาดใหญ่ 73 ตร.ม. | ชั้น 3,15/100,https://www.livinginsider.com/livingdetail/2874352/%E0%B8%A8%E0%B8%A3%E0%B8%B5%E0%B8%98%E0%B8%99%E0%B8%B2%E0%B8%84%E0%B8%AD%E0%B8%99%E0%B9%82%E0%B8%94-2-%E0%B8%AB%E0%B9%89%E0%B8%AD%E0%B8%87%E0%B8%A1%E0%B8%B8%E0%B8%A1%E0%B8%AA%E0%B9%88%E0%B8%A7%E0%B8%99%E0%B8%95%E0%B8%B1%E0%B8%A7-%E0%B8%A1%E0%B8%B5-2-%E0%B8%AB%E0%B9%89%E0%B8%AD%E0%B8%87%E0%B8%99%E0%B8%AD%E0%B8%99%E0%B9%83%E0%B8%AB%E0%B8%8D%E0%B9%88-%E0%B8%A1%E0%B8%B5%E0%B8%A3%E0%B8%B0%E0%B9%80%E0%B8%9A%E0%B8%B5%E0%B8%A2%E0%B8%87-%E0%B8%A3%E0%B8%B5%E0%B9%82%E0%B8%99%E0%B9%80%E0%B8%A7%E0%B8%97%E0%B9%83%E0%B8%AB%E0%B8%A1%E0%B9%88%E0%B8%A1%E0%B8%B2%E0%B8%81-%E0%B8%A1%E0%B8%B5%E0%B9%82%E0%B8%84%E0%B8%A7%E0%B8%95%E0%B8%B2%E0%B8%8A%E0%B8%B2%E0%B8%A7%E0%B8%95%E0%B9%88%E0%B8%B2%E0%B8%87%E0%B8%8A%E0%B8%B2%E0%B8%95%E0%B8%B4.html
ที่ดิน,ลดจาก 2.5 ล้าน เหลือขายเพียง 2 ล้านบาทเท่านั้น,ต.ท่าผา อ.แม่แจ่ม จ.เชียงใหม่ | บ้านผานัง ตำบลท่าผา อำเภอแม่แจ่ม จังหวัดเชียงใหม่ | ใกล้อุทยานแห่งชาติดอยอินทนนท์ | ใกล้วัดผานัง โรงเรียนบ้านผานัง,2-0-11.8 ไร่ | ที่ดินโฉนด 2 แปลง ขนาด 1-2-83.8 และ 0-1-28 ไร่ รวมทั้งสิ้น 2-0-11.8 ไร่,9/100,https://www.livinginsider.com/livingdetail/2875037/Land-for-sale-on-the-hillside-of-the-Feng-Shui-Dragons-Belly-mountain-See-the-view-of-Doi-Inthanon.html
ที่ดิน,"ราคา: 5,000,000 บาท","สันกำแพง ใกล้ ถนน เชียงใหม่ ดอยสะเก็ด เพียง 2 กม. | ใกล้ ถนน เชียงใหม่ ดอยสะเก็ด เพียง 2 กิโลเมตร | สวนอาหารบัว สนามบินเชียงใหม่ รร.วารีเชียงใหม่ รร.มงฟอร์ตวิทยาลัย แผนกมัธยม เซ็นทรัล พลาซา เชียงใหม่ แอร์พอร์ต เซ็นทรัล เฟสติวัล เชียงใหม่ รพ.ราชเวช เชียงใหม่ พิกัด: ,99.11762743",2 ไร่ 1 งาน 13 ตร.วา | ขนาด 2 ไร่ 1 งาน 13 ตร.วา,80/100,https://www.livinginsider.com/livingdetail/2875355/%E0%B8%82%E0%B8%B2%E0%B8%A2-%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%94%E0%B8%B4%E0%B8%99-%E0%B8%AA%E0%B8%B1%E0%B8%99%E0%B8%81%E0%B8%B3%E0%B9%81%E0%B8%9E%E0%B8%87-%E0%B9%83%E0%B8%81%E0%B8%A5%E0%B9%89-%E0%B8%96%E0%B8%99%E0%B8%99-%E0%B9%80%E0%B8%8A%E0%B8%B5%E0%B8%A2%E0%B8%87%E0%B9%83%E0%B8%AB%E0%B8%A1%E0%B9%88-%E0%B8%94%E0%B8%AD%E0%B8%A2%E0%B8%AA%E0%B8%B0%E0%B9%80%E0%B8%81%E0%B9%87%E0%B8%94-%E0%B9%80%E0%B8%9E%E0%B8%B5%E0%B8%A2%E0%B8%87-2-%E0%B8%81%E0%B8%A1-2-%E0%B9%84%E0%B8%A3%E0%B9%88-1-%E0%B8%87%E0%B8%B2%E0%B8%99-13-%E0%B8%95%E0%B8%A3-%E0%B8%A7%E0%B8%B2.html
ที่ดิน,-,"บ้านกลาง สันป่าตอง เชียงใหม่ | ใกล้วัดพระเจ้าทองทิพย์ เพียงแค่ 300 เมตร | บ้านกลาง อ.สันป่าตอง จ.เชียงใหม่ | อยู่ใกล้วัดพระเจ้าทองทิพย์ เพียง 300 เมตร | ห่างจากโรงพยาบาลสันป่าตองเพียง 4.3 กม. | ตำบลบ้านกลาง อำเภอสันป่าตอง จังหวัดเชียงใหม่ | พิกัด GPS ที่ตั้งทรัพย์ 18.56633828,98.88164249",เนื้อที่ 1-0-1.8 ไร่,90/100,https://www.livinginsider.com/livingdetail/2875389/Land-for-sale-Baan-Klang-San-Pa-Tong-Chiang-Mai-near-Phra-Chao-Thong-Thip-Temple-just-300-meter.html
ที่ดิน,ขายเพียง 110 ล้านบาท,คูเมืองเชียงใหม่ | ใกล้ประตูเมือง / คอมมูนิตี้ร้านดัง,250 ตร.วา | หน้ากว้าง 30 ม.,90/100,https://www.livinginsider.com/livingdetail/2875468/%E0%B8%AA%E0%B8%B8%E0%B8%94-rare-%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%94%E0%B8%B4%E0%B8%99%E0%B9%83%E0%B8%99%E0%B8%84%E0%B8%B9%E0%B9%80%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%8A%E0%B8%B5%E0%B8%A2%E0%B8%87%E0%B9%83%E0%B8%AB%E0%B8%A1%E0%B9%88-%E0%B8%95%E0%B8%B4%E0%B8%94%E0%B8%95%E0%B8%A5%E0%B8%B2%E0%B8%94%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%AA%E0%B8%B8%E0%B8%94%E0%B9%83%E0%B8%99%E0%B8%9B%E0%B8%B5%E0%B8%99%E0%B8%B5%E0%B9%89.html
พูลวิลล่า,ราคาเพียง 12.5 ล้านบาท,แสนสราญ หางดง,เนื้อที่: 188 ตรว. (752 ตร.ม.) | พื้นที่ใช้สอย: 287 ตร.ม.,9/100,https://www.livinginsider.com/livingdetail/2875883/%E2%AD%90%E0%B8%82%E0%B8%B2%E0%B8%A2%E0%B8%9E%E0%B8%B9%E0%B8%A5%E0%B8%A7%E0%B8%B4%E0%B8%A5%E0%B8%A5%E0%B9%88%E0%B8%B2%E0%B8%AB%E0%B8%A3%E0%B8%B9-%E0%B9%81%E0%B8%AA%E0%B8%99%E0%B8%AA%E0%B8%A3%E0%B8%B2%E0%B8%8D-%E0%B8%AB%E0%B8%B2%E0%B8%87%E0%B8%94%E0%B8%87-%E0%B8%A5%E0%B8%94%E0%B8%A3%E0%B8%B2%E0%B8%84%E0%B8%B2%E0%B8%9E%E0%B8%B4%E0%B9%80%E0%B8%A8%E0%B8%A9%E0%B9%80%E0%B8%AB%E0%B8%A5%E0%B8%B7%E0%B8%AD%E0%B9%80%E0%B8%9E%E0%B8%B5%E0%B8%A2%E0%B8%87-12-5-%E0%B8%A5%E0%B9%89%E0%B8%B2%E0%B8%99-%E2%AD%90.html
บ้านเดี่ยว,เริ่มต้นเพียง 4.xx ล้านบาท,"ใกล้เมือง | มหาวิทยาลัยพายัพ | โรงเรียนดาราวิทยาลัย | โรงเรียนปรินส์รอยแยลส์วิทยาลัย | โรงเรียนนานาชาติ CMIS, SISB, NIS, Tonkla | ตลาดสามแยก / บิ๊กซีเอ็กซ์ตร้า | ห้างเซ็นทรัลเฟสติวัล | โรงพยาบาลกรุงเทพ / โรงพยาบาลแมคคอร์มิค | ร้านสะดวกซื้อหลายแห่ง",ขนาดที่ดิน 63–65.40 ตร.วา | พื้นที่ใช้สอย 150 ตร.ม.,9/100,https://www.livinginsider.com/livingdetail/2875979/%F0%9F%8C%BF-%E0%B8%82%E0%B8%B2%E0%B8%A2%E0%B8%9A%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B9%80%E0%B8%94%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7-%E0%B9%80%E0%B8%A3%E0%B8%B4%E0%B9%88%E0%B8%A1%E0%B8%95%E0%B9%89%E0%B8%99%E0%B9%80%E0%B8%9E%E0%B8%B5%E0%B8%A2%E0%B8%87-4-xx-%E0%B8%A5%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%9A%E0%B8%B2%E0%B8%97-%E0%B8%9A%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B9%80%E0%B8%94%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7-2-%E0%B8%8A%E0%B8%B1%E0%B9%89%E0%B8%99-%E0%B8%AD%E0%B8%AD%E0%B8%81%E0%B9%81%E0%B8%9A%E0%B8%9A%E0%B8%A5%E0%B8%87%E0%B8%95%E0%B8%B1%E0%B8%A7-%E0%B8%9F%E0%B8%B1%E0%B8%87%E0%B8%81%E0%B9%8C%E0%B8%8A%E0%B8%B1%E0%B8%99%E0%B8%84%E0%B8%A3%E0%B8%9A%E0%B9%80%E0%B8%9E%E0%B8%B7%E0%B9%88%E0%B8%AD%E0%B8%84%E0%B8%A3%E0%B8%AD%E0%B8%9A%E0%B8%84%E0%B8%A3%E0%B8%B1%E0%B8%A7.html
ที่ดิน,"ราคาถูก เพียง 11,000 บาท/ตร.วา",โครงการเดอะเนเจอร์โฮม หางดง เชียงใหม่ | ต.หารแก้ว อ.หางดง จ.เชียงใหม่ | เฟส 3 (แปลงที่ 12),265 ตารางวา,90/100,https://www.livinginsider.com/livingdetail/2876096/%E0%B8%82%E0%B8%B2%E0%B8%A2%E0%B8%94%E0%B9%88%E0%B8%A7%E0%B8%99-%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%94%E0%B8%B4%E0%B8%99%E0%B8%88%E0%B8%B1%E0%B8%94%E0%B8%AA%E0%B8%A3%E0%B8%A3-265-%E0%B8%95%E0%B8%B2%E0%B8%A3%E0%B8%B2%E0%B8%87%E0%B8%A7%E0%B8%B2-%E0%B9%82%E0%B8%84%E0%B8%A3%E0%B8%87%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%80%E0%B8%94%E0%B8%AD%E0%B8%B0%E0%B9%80%E0%B8%99%E0%B9%80%E0%B8%88%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B9%82%E0%B8%AE%E0%B8%A1-%E0%B8%AB%E0%B8%B2%E0%B8%87%E0%B8%94%E0%B8%87-%E0%B9%80%E0%B8%8A%E0%B8%B5%E0%B8%A2%E0%B8%87%E0%B9%83%E0%B8%AB%E0%B8%A1%E0%B9%88-%E0%B8%A3%E0%B8%B2%E0%B8%84%E0%B8%B2%E0%B8%96%E0%B8%B9%E0%B8%81-%E0%B9%80%E0%B8%9E%E0%B8%B5%E0%B8%A2%E0%B8%87-11-000-%E0%B8%9A%E0%B8%B2%E0%B8%97-%E0%B8%95%E0%B8%A3-%E0%B8%A7%E0%B8%B2.html
